fault,fault_effect,Counts
Offset,Tool_thrown,48
Stuck_at,Tool_thrown,43
Noise,Tool_thrown,37
Package_drop,Tool_thrown,35
Offset,Human_collision,10
Noise,Human_collision,7
Package_drop,Human_collision,5
Stuck_at,Human_collision,3
Noise,Back_support_collision,11
Offset,Back_support_collision,9
Package_drop,Back_support_collision,3
Stuck_at,Back_support_collision,2
Offset,Right_support_collision,10
Noise,Right_support_collision,8
Stuck_at,Right_support_collision,3
Package_drop,Right_support_collision,2
Package_drop,Controller_failure,33
Stuck_at,Controller_failure,1
