fault,fault_effect,Counts
Offset,Tool_thrown,60
Noise,Tool_thrown,53
Package_drop,Tool_thrown,50
Stuck_at,Tool_thrown,38
Offset,Human_collision,26
Noise,Human_collision,11
Package_drop,Human_collision,6
Stuck_at,Human_collision,2
Noise,Back_support_collision,24
Offset,Back_support_collision,22
Package_drop,Back_support_collision,13
Stuck_at,Back_support_collision,5
Noise,Right_support_collision,18
Offset,Right_support_collision,13
Package_drop,Right_support_collision,3
Stuck_at,Right_support_collision,2
Package_drop,Controller_failure,52
Stuck_at,Controller_failure,1
Offset,Controller_failure,1
