time,.data
1970/01/01/01:00:34.850000,2
1970/01/01/01:00:39.880000,2
1970/01/01/01:00:46.075000,2
1970/01/01/01:00:52.406000,2
1970/01/01/01:00:58.445000,2
1970/01/01/01:01:09.272000,2
1970/01/01/01:01:15.206000,2
1970/01/01/01:01:21.116000,2
1970/01/01/01:01:27.083000,2
1970/01/01/01:01:44.724000,2
1970/01/01/01:01:51.736000,2
1970/01/01/01:01:57.938000,2
1970/01/01/01:02:04.252000,2
1970/01/01/01:02:10.504000,2
1970/01/01/01:02:20.250000,2
1970/01/01/01:02:26.203000,2
1970/01/01/01:02:32.069000,2
1970/01/01/01:02:38.052000,2
1970/01/01/01:02:53.911000,2
1970/01/01/01:03:05.241000,2
1970/01/01/01:03:11.149000,2
1970/01/01/01:03:17.478000,2
1970/01/01/01:03:23.435000,2
1970/01/01/01:03:46.446000,2
1970/01/01/01:03:52.419000,2
1970/01/01/01:03:58.252000,2
1970/01/01/01:04:04.145000,2
1970/01/01/01:04:22.443000,2
1970/01/01/01:04:36.054000,2
1970/01/01/01:04:42.103000,2
1970/01/01/01:04:50.457000,2
1970/01/01/01:04:56.543000,2
1970/01/01/01:05:04.978000,2
1970/01/01/01:05:10.912000,2
1970/01/01/01:05:16.779000,2
1970/01/01/01:05:22.807000,2
1970/01/01/01:05:42.857000,2
1970/01/01/01:05:54.078000,2
1970/01/01/01:06:00.107000,2
1970/01/01/01:06:08.563000,2
1970/01/01/01:06:14.571000,2
1970/01/01/01:06:22.257000,2
1970/01/01/01:06:28.176000,2
1970/01/01/01:06:34.022000,2
1970/01/01/01:06:39.955000,2
1970/01/01/01:06:57.295000,2
1970/01/01/01:07:11.613000,2
1970/01/01/01:07:17.711000,2
1970/01/01/01:07:26.139000,2
1970/01/01/01:07:32.136000,2
1970/01/01/01:07:39.288000,2
1970/01/01/01:07:45.237000,2
1970/01/01/01:07:51.101000,2
1970/01/01/01:07:57.037000,2
1970/01/01/01:08:15.952000,2
1970/01/01/01:08:26.981000,2
1970/01/01/01:08:33.014000,2
1970/01/01/01:08:41.445000,2
1970/01/01/01:08:47.519000,2
1970/01/01/01:09:03.356000,2
1970/01/01/01:09:09.310000,2
1970/01/01/01:09:15.121000,2
1970/01/01/01:09:21.104000,2
