,time_stamp,fault,joint,pose,offset,time,time_label,drop_rate,mean,sd,fault_effect
0,1970-01-01 00:01:36.343,3,2,7,7,1,3,3,-2,4,1
1,1970-01-01 00:04:07.329,1,3,7,6,4,2,3,-1,1,1
2,1970-01-01 00:04:07.392,1,3,7,6,4,2,3,-1,1,1
3,1970-01-01 00:09:17.288,3,4,3,10,5,3,1,-5,3,1
4,1970-01-01 00:09:37.819,3,4,3,10,5,3,1,-5,3,1
5,1970-01-01 00:04:18.747,3,5,8,2,3,3,2,3,3,1
6,1970-01-01 00:04:18.831,3,5,8,2,3,3,2,3,3,1
7,1970-01-01 00:04:18.831,3,5,8,2,3,3,2,3,3,1
8,1970-01-01 00:06:57.322,4,0,4,5,5,3,3,1,2,1
9,1970-01-01 00:07:16.873,4,0,4,5,5,3,3,1,2,1
10,1970-01-01 00:08:58.709,4,6,6,3,4,3,2,-2,2,1
11,1970-01-01 00:09:06.593,4,6,6,3,4,3,2,-2,2,1
12,1970-01-01 00:10:00.978,2,6,7,9,3,3,1,-2,5,2
13,1970-01-01 00:10:02.851,2,6,7,9,3,3,1,-2,5,2
14,1970-01-01 00:10:09.259,2,6,7,9,3,3,1,-2,5,2
15,1970-01-01 00:10:15.505,2,6,7,9,3,3,1,-2,5,2
16,1970-01-01 00:03:12.448,2,7,7,6,2,2,1,1,2,6
17,1970-01-01 00:03:32.252,2,7,7,6,2,2,1,1,2,1
18,1970-01-01 00:07:14.292,4,2,4,7,2,3,2,0,2,2
19,1970-01-01 00:07:32.208,4,2,4,7,2,3,2,0,2,2
20,1970-01-01 00:09:18.295,3,5,5,5,5,2,3,1,3,1
21,1970-01-01 00:09:31.918,3,5,5,5,5,2,3,1,3,1
22,1970-01-01 00:04:07.127,1,6,3,7,2,3,3,4,5,1
23,1970-01-01 00:04:07.192,1,6,3,7,2,3,3,4,5,1
24,1970-01-01 00:07:07.097,4,3,2,9,4,3,1,-4,1,4
25,1970-01-01 00:08:31.357,1,7,6,1,4,2,1,-3,2,2
26,1970-01-01 00:08:32.725,1,7,6,1,4,2,1,-3,2,2
27,1970-01-01 00:09:11.294,1,7,6,1,4,2,1,-3,2,1
28,1970-01-01 00:09:48.651,3,1,8,7,4,2,2,5,3,2
29,1970-01-01 00:09:49.686,3,1,8,7,4,2,2,5,3,2
30,1970-01-01 00:10:06.726,3,1,8,7,4,2,2,5,3,2
31,1970-01-01 00:01:24.061,4,4,2,2,3,3,1,5,5,2
32,1970-01-01 00:03:07.773,2,5,5,3,1,2,1,3,4,1
33,1970-01-01 00:04:06.616,3,1,6,10,3,2,2,4,3,1
34,1970-01-01 00:04:06.736,3,1,6,10,3,2,2,4,3,1
35,1970-01-01 00:04:05.128,3,7,4,10,5,2,2,-4,5,1
36,1970-01-01 00:04:05.200,3,7,4,10,5,2,2,-4,5,1
37,1970-01-01 00:04:07.333,1,6,5,7,2,2,1,-2,5,1
38,1970-01-01 00:04:07.428,1,6,5,7,2,2,1,-2,5,1
39,1970-01-01 00:06:38.300,1,3,3,1,2,2,2,-1,1,1
40,1970-01-01 00:06:38.692,1,3,3,1,2,2,2,-1,1,6
41,1970-01-01 00:07:59.792,1,8,6,2,2,2,2,-3,5,2
42,1970-01-01 00:08:00.693,1,8,6,2,2,2,2,-3,5,2
43,1970-01-01 00:08:07.208,1,8,6,2,2,2,2,-3,5,2
44,1970-01-01 00:08:15.644,1,8,6,2,2,2,2,-3,5,2
45,1970-01-01 00:08:27.004,1,8,6,2,2,2,2,-3,5,2
46,1970-01-01 00:08:29.013,1,8,6,2,2,2,2,-3,5,2
47,1970-01-01 00:08:46.457,1,8,6,2,2,2,2,-3,5,2
48,1970-01-01 00:08:51.887,1,8,6,2,2,2,2,-3,5,2
49,1970-01-01 00:09:14.446,1,7,1,9,3,3,1,4,4,2
50,1970-01-01 00:09:16.264,1,7,1,9,3,3,1,4,4,2
51,1970-01-01 00:09:22.722,1,7,1,9,3,3,1,4,4,2
52,1970-01-01 00:09:29.038,1,7,1,9,3,3,1,4,4,2
53,1970-01-01 00:10:18.630,1,7,1,9,3,3,1,4,4,6
54,1970-01-01 00:04:07.743,4,1,4,10,2,2,1,-1,4,1
55,1970-01-01 00:04:10.949,4,1,4,10,2,2,1,-1,4,1
56,1970-01-01 00:04:17.815,4,1,4,10,2,2,1,-1,4,6
57,1970-01-01 00:04:50.051,4,1,4,10,2,2,1,-1,4,1
58,1970-01-01 00:05:50.118,2,5,1,9,1,3,3,-3,4,1
59,1970-01-01 00:05:50.350,2,5,1,9,1,3,3,-3,4,2
60,1970-01-01 00:06:11.125,2,5,1,9,1,3,3,-3,4,2
61,1970-01-01 00:06:13.041,2,5,1,9,1,3,3,-3,4,2
62,1970-01-01 00:09:46.684,2,8,7,10,5,2,1,0,5,2
63,1970-01-01 00:09:48.134,2,8,7,10,5,2,1,0,5,2
64,1970-01-01 00:09:54.613,2,8,7,10,5,2,1,0,5,2
65,1970-01-01 00:10:00.817,2,8,7,10,5,2,1,0,5,2
66,1970-01-01 00:06:04.704,4,3,4,9,1,2,2,1,5,1
