,time_stamp,fault,joint,pose,offset,time,time_label,drop_rate,mean,sd,fault_effect
2,1970-01-01 00:04:08.649,4,0,4,3,1,2,3,-4.260000228881836,2.3499999046325684,4
63,1970-01-01 00:05:00.308,3,0,6,3,3,3,1,4.639999866485596,3.609999895095825,1
67,1970-01-01 00:08:03.368,4,1,1,1,3,2,3,-2.5399999618530273,1.4900000095367432,2
77,1970-01-01 00:04:45.023,3,2,9,1,3,3,3,-4.070000171661377,2.049999952316284,1
84,1970-01-01 00:04:48.020,2,7,6,2,1,2,2,2.75,3.7899999618530273,1
85,1970-01-01 00:04:10.551,1,7,8,5,1,3,3,0.23000000417232513,2.2799999713897705,1
86,1970-01-01 00:02:42.149,4,1,4,2,2,3,2,-2.9700000286102295,2.5399999618530273,1
90,1970-01-01 00:09:50.991,3,8,3,1,2,3,3,-4.909999847412109,2.630000114440918,4
91,1970-01-01 00:04:07.871,3,6,9,3,3,2,1,-2.2300000190734863,2.5899999141693115,1
92,1970-01-01 00:09:30.061,2,2,3,4,2,3,1,2.180000066757202,1.5,1
95,1970-01-01 00:02:47.817,1,1,2,4,1,3,2,4.860000133514404,3.950000047683716,4
99,1970-01-01 00:04:46.839,2,1,4,3,3,2,3,-3.799999952316284,4.869999885559082,3
104,1970-01-01 00:04:02.775,3,0,4,4,2,3,1,1.4700000286102295,1.3899999856948853,6
105,1970-01-01 00:01:58.522,4,2,9,2,2,2,3,4.570000171661377,2.5199999809265137,2
110,1970-01-01 00:04:52.639,2,7,5,5,1,3,1,1.1299999952316284,3.7899999618530273,1
111,1970-01-01 00:10:08.552,4,5,2,2,3,2,3,0.10999999940395355,3.869999885559082,4
121,1970-01-01 00:01:59.859,1,6,8,5,1,2,2,-0.9599999785423279,4.489999771118164,4
134,1970-01-01 00:04:32.166,2,5,8,4,2,2,1,-0.009999999776482582,3.4600000381469727,1
135,1970-01-01 00:04:39.885,2,5,8,4,2,2,1,-0.009999999776482582,3.4600000381469727,4
140,1970-01-01 00:06:03.271,2,5,8,4,2,2,1,-0.009999999776482582,3.4600000381469727,3
141,1970-01-01 00:04:50.035,3,3,2,3,3,2,1,-3.630000114440918,4.409999847412109,1
142,1970-01-01 00:06:39.809,1,4,3,1,2,2,1,-2.009999990463257,1.2699999809265137,1
145,1970-01-01 00:10:22.735,4,2,8,3,1,2,3,-1.8899999856948853,3.950000047683716,2
148,1970-01-01 00:07:15.255,1,3,6,1,1,3,2,2.619999885559082,2.880000114440918,1
149,1970-01-01 00:01:43.291,4,0,6,5,3,3,3,0.75,2.1500000953674316,1
154,1970-01-01 00:04:45.498,2,1,2,4,1,2,3,3.3499999046325684,2.4100000858306885,1
158,1970-01-01 00:07:52.583,1,0,1,2,3,3,1,1.5199999809265137,4.630000114440918,1
172,1970-01-01 00:02:44.179,4,2,4,1,2,3,2,-1.340000033378601,3.7799999713897705,3
173,1970-01-01 00:08:31.732,4,0,8,1,1,2,2,3.140000104904175,1.3600000143051147,1
174,1970-01-01 00:04:18.072,2,4,4,1,3,3,1,-0.4099999964237213,4.269999980926514,1
177,1970-01-01 00:06:35.929,1,1,2,3,1,3,1,2.880000114440918,1.2200000286102295,1
188,1970-01-01 00:08:29.150,4,3,5,2,1,2,2,1.6200000047683716,3.4000000953674316,3
196,1970-01-01 00:04:23.167,1,7,8,3,3,3,1,0.8399999737739563,4.079999923706055,1
197,1970-01-01 00:06:48.188,3,4,4,4,2,2,1,-0.4000000059604645,1.7300000190734863,6
198,1970-01-01 00:01:39.301,2,5,5,5,1,2,3,-4.199999809265137,3.0,1
