,time_stamp,fault,joint,pose,offset,time,time_label,drop_rate,mean,sd
0,1970-01-01 00:00:35.592,2,1,6,3,2,2,2,-4.949999809265137,2.4000000953674316
1,1970-01-01 00:02:11.336,1,8,9,5,3,2,3,1.2899999618530273,2.549999952316284
2,1970-01-01 00:03:24.669,1,5,2,4,1,3,1,-0.09000000357627869,1.899999976158142
3,1970-01-01 00:04:51.474,4,8,6,3,2,2,3,-3.009999990463257,1.149999976158142
4,1970-01-01 00:06:07.806,3,4,8,4,2,3,3,2.7100000381469727,3.9100000858306885
5,1970-01-01 00:07:22.703,2,3,4,5,2,3,1,3.859999895095825,1.3300000429153442
6,1970-01-01 00:08:43.140,1,5,8,2,2,3,2,1.9600000381469727,1.7699999809265137
7,1970-01-01 00:00:37.773,2,2,5,5,2,3,3,-2.9700000286102295,2.7799999713897705
8,1970-01-01 00:02:11.004,3,5,9,1,3,2,2,-1.5700000524520874,2.0299999713897705
9,1970-01-01 00:03:29.135,2,8,6,1,2,2,2,0.3100000023841858,4.139999866485596
10,1970-01-01 00:04:55.539,2,0,4,3,1,2,1,2.4200000762939453,4.699999809265137
11,1970-01-01 00:06:15.006,2,8,6,1,1,2,3,-3.049999952316284,4.550000190734863
12,1970-01-01 00:07:27.076,4,5,2,5,2,3,3,-2.8499999046325684,2.240000009536743
13,1970-01-01 00:09:40.103,1,8,7,3,3,2,2,2.4100000858306885,4.309999942779541
14,1970-01-01 00:00:34.883,2,0,7,3,2,3,3,2.740000009536743,4.710000038146973
15,1970-01-01 00:02:09.038,1,3,5,5,2,2,3,-1.7899999618530273,1.2999999523162842
16,1970-01-01 00:03:18.305,2,6,2,3,3,3,2,4.570000171661377,2.6700000762939453
17,1970-01-01 00:04:45.338,3,5,3,1,3,3,1,3.4700000286102295,4.75
18,1970-01-01 00:06:04.869,1,5,9,1,1,3,1,-1.590000033378601,3.950000047683716
19,1970-01-01 00:07:18.602,1,2,8,4,3,3,3,-1.1699999570846558,4.170000076293945
20,1970-01-01 00:08:36.104,4,7,4,1,1,3,1,3.359999895095825,1.5299999713897705
21,1970-01-01 00:00:38.286,3,3,7,1,2,3,2,-0.8899999856948853,4.03000020980835
22,1970-01-01 00:02:12.002,1,4,9,3,3,3,1,-2.109999895095825,3.7899999618530273
23,1970-01-01 00:03:24.504,1,4,5,3,1,2,1,-4.46999979019165,3.5399999618530273
24,1970-01-01 00:04:51.072,3,5,1,5,1,3,2,-1.659999966621399,3.240000009536743
25,1970-01-01 00:06:10.308,2,2,8,3,1,3,1,2.799999952316284,2.2200000286102295
26,1970-01-01 00:07:26.168,3,6,5,2,2,2,3,-3.809999942779541,3.309999942779541
27,1970-01-01 00:08:39.840,2,1,2,3,1,3,3,-5.0,1.9800000190734863
28,1970-01-01 00:00:37.102,3,8,1,2,1,2,1,-3.0899999141693115,1.6399999856948853
29,1970-01-01 00:02:13.136,3,1,7,2,2,3,2,-1.7999999523162842,4.369999885559082
30,1970-01-01 00:03:27.506,4,8,3,5,3,2,1,3.9000000953674316,1.3300000429153442
31,1970-01-01 00:04:54.538,3,5,8,4,2,2,1,1.909999966621399,3.240000009536743
32,1970-01-01 00:06:17.569,3,3,7,2,3,3,3,1.1699999570846558,3.5999999046325684
33,1970-01-01 00:07:31.303,3,5,2,4,1,2,1,3.890000104904175,1.0299999713897705
34,1970-01-01 00:08:55.576,4,8,3,2,3,2,1,-0.3499999940395355,1.7400000095367432
35,1970-01-01 00:00:34.561,2,1,7,3,2,3,1,-0.6200000047683716,4.579999923706055
36,1970-01-01 00:02:10.408,1,3,6,3,1,2,1,-1.2300000190734863,3.490000009536743
37,1970-01-01 00:04:12.704,2,6,3,2,3,2,1,-3.609999895095825,3.880000114440918
38,1970-01-01 00:06:20.406,3,4,2,2,2,2,2,-4.760000228881836,4.949999809265137
39,1970-01-01 00:07:38.073,4,5,3,1,1,2,1,3.0999999046325684,2.2799999713897705
40,1970-01-01 00:08:56.206,3,0,3,4,1,3,2,-3.309999942779541,1.850000023841858
41,1970-01-01 00:10:16.436,3,0,7,1,3,2,2,1.190000057220459,3.690000057220459
42,1970-01-01 00:00:35.867,4,4,7,4,1,2,1,1.649999976158142,2.569999933242798
43,1970-01-01 00:02:09.167,1,8,7,4,1,2,1,4.0,1.159999966621399
44,1970-01-01 00:03:25.308,4,0,5,2,3,3,3,-4.360000133514404,1.6699999570846558
45,1970-01-01 00:04:54.636,3,7,8,1,2,2,2,-1.2999999523162842,3.7799999713897705
46,1970-01-01 00:06:12.300,4,7,1,2,2,2,2,-0.6700000166893005,1.409999966621399
47,1970-01-01 00:07:26.505,3,5,4,2,2,2,2,-0.9300000071525574,1.3700000047683716
48,1970-01-01 00:08:48.176,3,8,4,3,1,3,3,1.7400000095367432,1.6100000143051147
49,1970-01-01 00:00:36.344,1,6,4,3,2,2,2,0.8500000238418579,2.25
50,1970-01-01 00:02:10.472,4,7,5,3,2,3,2,3.7300000190734863,3.0199999809265137
51,1970-01-01 00:03:24.466,4,1,8,1,2,3,3,1.4199999570846558,3.880000114440918
52,1970-01-01 00:04:50.838,4,0,3,4,1,2,2,0.1599999964237213,3.0399999618530273
53,1970-01-01 00:06:08.176,2,8,4,4,1,3,3,-4.860000133514404,3.1700000762939453
54,1970-01-01 00:07:21.703,3,5,9,4,1,2,1,0.009999999776482582,1.350000023841858
55,1970-01-01 00:08:39.433,1,0,8,5,1,3,3,-1.5299999713897705,3.2899999618530273
56,1970-01-01 00:00:37.557,3,8,3,2,1,3,3,0.2800000011920929,2.630000114440918
57,1970-01-01 00:02:09.303,1,1,6,4,1,2,1,0.33000001311302185,1.5199999809265137
58,1970-01-01 00:03:36.439,3,5,6,5,1,3,2,4.050000190734863,3.0799999237060547
59,1970-01-01 00:05:03.505,3,5,5,3,3,2,1,2.859999895095825,3.200000047683716
60,1970-01-01 00:06:23.037,3,1,4,3,2,2,1,-1.3799999952316284,4.570000171661377
61,1970-01-01 00:07:53.237,1,4,3,4,3,3,1,2.369999885559082,2.8299999237060547
62,1970-01-01 00:09:14.066,1,1,8,5,3,2,2,1.149999976158142,2.930000066757202
63,1970-01-01 00:00:38.939,1,8,7,3,3,2,1,0.5299999713897705,3.859999895095825
64,1970-01-01 00:02:08.668,1,7,6,4,1,2,1,4.210000038146973,4.769999980926514
65,1970-01-01 00:03:29.037,4,1,8,5,2,3,2,1.5299999713897705,4.989999771118164
66,1970-01-01 00:04:53.974,4,3,4,1,3,2,2,-1.1799999475479126,1.399999976158142
67,1970-01-01 00:06:18.472,3,7,7,4,2,3,1,4.610000133514404,3.8299999237060547
68,1970-01-01 00:07:33.237,1,0,3,1,1,3,1,-3.799999952316284,1.3300000429153442
69,1970-01-01 00:08:48.637,3,8,3,1,1,2,2,-1.8600000143051147,2.2799999713897705
70,1970-01-01 00:00:34.707,4,2,3,3,2,2,3,-1.8700000047683716,1.7200000286102295
71,1970-01-01 00:02:08.739,3,0,6,1,3,2,3,-4.820000171661377,4.099999904632568
72,1970-01-01 00:03:24.807,4,5,8,3,1,2,1,4.949999809265137,3.25
73,1970-01-01 00:05:11.315,4,8,9,4,1,2,1,-3.609999895095825,2.630000114440918
74,1970-01-01 00:06:37.552,1,7,3,3,2,2,3,-4.400000095367432,4.880000114440918
75,1970-01-01 00:07:58.299,4,4,1,5,3,3,3,1.2699999809265137,2.700000047683716
76,1970-01-01 00:09:17.585,1,3,8,5,1,2,2,3.6700000762939453,2.309999942779541
77,1970-01-01 00:00:36.299,3,2,7,1,3,3,2,1.5199999809265137,1.5800000429153442
78,1970-01-01 00:02:09.472,1,5,1,2,2,3,1,-4.170000076293945,3.9600000381469727
79,1970-01-01 00:03:24.572,3,7,3,2,1,2,3,-0.14000000059604645,3.5
80,1970-01-01 00:04:54.235,3,1,2,3,1,2,1,2.8299999237060547,4.849999904632568
81,1970-01-01 00:06:28.106,4,4,6,2,2,2,2,-1.2699999809265137,1.8700000047683716
82,1970-01-01 00:07:51.270,2,4,7,3,2,3,2,-0.20000000298023224,2.7300000190734863
83,1970-01-01 00:09:08.336,1,8,3,2,3,2,3,-3.0399999618530273,4.550000190734863
84,1970-01-01 00:00:35.887,1,6,8,5,1,2,2,-0.9599999785423279,4.489999771118164
85,1970-01-01 00:02:34.166,2,8,8,3,2,3,2,0.8399999737739563,1.8899999856948853
86,1970-01-01 00:03:50.803,2,5,8,4,2,2,1,-0.009999999776482582,3.4600000381469727
87,1970-01-01 00:06:45.739,3,3,6,3,2,3,3,1.7899999618530273,2.569999933242798
88,1970-01-01 00:08:07.709,1,6,2,4,1,2,2,4.210000038146973,2.0199999809265137
89,1970-01-01 00:09:17.573,3,3,1,2,2,2,2,1.5800000429153442,2.6600000858306885
90,1970-01-01 00:00:35.651,3,7,9,5,3,3,1,2.880000114440918,1.5199999809265137
91,1970-01-01 00:02:11.139,1,1,5,1,3,2,2,1.940000057220459,4.199999809265137
92,1970-01-01 00:03:20.235,2,3,4,1,2,3,1,2.680000066757202,4.059999942779541
93,1970-01-01 00:04:47.102,3,4,4,1,2,2,3,-0.8999999761581421,3.5199999809265137
94,1970-01-01 00:06:06.540,1,2,7,1,3,3,3,-2.369999885559082,1.1299999952316284
95,1970-01-01 00:07:21.302,4,6,7,2,3,3,1,-4.28000020980835,2.4100000858306885
96,1970-01-01 00:08:37.036,4,2,1,4,1,2,3,-4.309999942779541,1.309999942779541
97,1970-01-01 00:00:38.686,1,2,6,1,2,2,2,-3.690000057220459,4.829999923706055
98,1970-01-01 00:02:09.800,2,2,7,4,1,3,3,2.4200000762939453,3.9800000190734863
99,1970-01-01 00:03:26.108,2,2,5,5,2,3,2,-1.5499999523162842,4.889999866485596
100,1970-01-01 00:04:53.177,3,5,3,2,1,3,3,3.7699999809265137,3.6500000953674316
101,1970-01-01 00:06:14.033,1,1,5,4,3,3,1,-4.809999942779541,4.880000114440918
102,1970-01-01 00:07:29.866,3,4,5,4,2,3,3,-2.7100000381469727,1.25
103,1970-01-01 00:08:48.574,2,7,8,5,3,2,1,-0.2800000011920929,1.6799999475479126
104,1970-01-01 00:00:34.852,4,6,2,1,1,2,1,4.510000228881836,1.8799999952316284
105,1970-01-01 00:02:13.474,3,4,8,1,3,3,1,1.7400000095367432,3.0299999713897705
106,1970-01-01 00:03:26.968,4,2,6,2,3,3,3,1.1399999856948853,1.5099999904632568
107,1970-01-01 00:05:10.219,3,6,3,5,3,3,1,-1.7000000476837158,3.4200000762939453
108,1970-01-01 00:06:42.403,2,4,2,4,1,3,1,-0.5400000214576721,1.5
109,1970-01-01 00:07:53.667,2,2,2,4,2,2,2,-1.8300000429153442,4.659999847412109
110,1970-01-01 00:09:12.404,3,7,3,4,1,2,1,-3.0,1.1100000143051147
111,1970-01-01 00:00:37.941,2,8,2,5,1,3,2,2.950000047683716,4.869999885559082
112,1970-01-01 00:02:12.173,2,3,8,3,2,3,2,-0.8600000143051147,1.75
113,1970-01-01 00:03:29.206,1,6,5,1,2,2,1,-0.28999999165534973,4.010000228881836
114,1970-01-01 00:04:40.441,3,8,6,4,3,3,3,1.3700000047683716,2.200000047683716
115,1970-01-01 00:06:02.635,4,2,8,1,1,2,2,0.10999999940395355,3.430000066757202
116,1970-01-01 00:07:19.265,1,8,3,3,2,3,1,0.44999998807907104,1.5800000429153442
117,1970-01-01 00:08:41.102,4,1,5,1,2,3,1,-4.409999847412109,2.7200000286102295
118,1970-01-01 00:00:37.548,1,0,5,1,3,3,2,4.199999809265137,3.5399999618530273
119,1970-01-01 00:02:10.812,3,2,1,4,2,3,3,-0.5199999809265137,2.309999942779541
120,1970-01-01 00:03:27.509,1,2,7,4,3,3,2,4.119999885559082,2.1600000858306885
121,1970-01-01 00:04:53.039,2,3,6,1,1,2,1,-2.009999990463257,2.740000009536743
122,1970-01-01 00:06:15.572,1,3,6,1,1,3,2,2.619999885559082,2.880000114440918
123,1970-01-01 00:08:32.269,2,6,1,1,1,3,1,-0.5400000214576721,3.6500000953674316
