time,.data
1970/01/01/01:00:21.834000,False
1970/01/01/01:00:21.867000,False
1970/01/01/01:00:21.900000,False
1970/01/01/01:00:21.934000,False
1970/01/01/01:00:21.967000,False
1970/01/01/01:00:22.000000,False
1970/01/01/01:00:22.034000,False
1970/01/01/01:00:22.067000,False
1970/01/01/01:00:22.100000,False
1970/01/01/01:00:22.134000,False
1970/01/01/01:00:22.167000,False
1970/01/01/01:00:22.200000,False
1970/01/01/01:00:22.234000,False
1970/01/01/01:00:22.267000,False
1970/01/01/01:00:22.300000,False
1970/01/01/01:00:22.334000,False
1970/01/01/01:00:22.367000,False
1970/01/01/01:00:22.400000,False
1970/01/01/01:00:22.434000,False
1970/01/01/01:00:22.467000,False
1970/01/01/01:00:22.500000,False
1970/01/01/01:00:22.534000,False
1970/01/01/01:00:22.567000,False
1970/01/01/01:00:22.600000,False
1970/01/01/01:00:22.634000,False
1970/01/01/01:00:22.667000,False
1970/01/01/01:00:22.700000,False
1970/01/01/01:00:22.734000,False
1970/01/01/01:00:22.767000,False
1970/01/01/01:00:22.800000,False
1970/01/01/01:00:22.834000,False
1970/01/01/01:00:22.867000,False
1970/01/01/01:00:22.900000,False
1970/01/01/01:00:22.934000,False
1970/01/01/01:00:22.967000,False
1970/01/01/01:00:23.000000,False
1970/01/01/01:00:23.034000,False
1970/01/01/01:00:23.067000,False
1970/01/01/01:00:23.100000,False
1970/01/01/01:00:23.134000,False
1970/01/01/01:00:23.167000,False
1970/01/01/01:00:23.200000,False
1970/01/01/01:00:23.234000,False
1970/01/01/01:00:23.267000,False
1970/01/01/01:00:23.300000,False
1970/01/01/01:00:23.334000,False
1970/01/01/01:00:23.367000,False
1970/01/01/01:00:23.400000,False
1970/01/01/01:00:23.434000,False
1970/01/01/01:00:23.467000,False
1970/01/01/01:00:23.500000,False
1970/01/01/01:00:23.534000,False
1970/01/01/01:00:23.567000,False
1970/01/01/01:00:23.600000,False
1970/01/01/01:00:23.634000,False
1970/01/01/01:00:23.667000,False
1970/01/01/01:00:23.700000,False
1970/01/01/01:00:23.734000,False
1970/01/01/01:00:23.767000,False
1970/01/01/01:00:23.800000,False
1970/01/01/01:00:23.834000,False
1970/01/01/01:00:23.867000,False
1970/01/01/01:00:23.900000,False
1970/01/01/01:00:23.934000,False
1970/01/01/01:00:23.967000,False
1970/01/01/01:00:24.000000,False
1970/01/01/01:00:24.034000,False
1970/01/01/01:00:24.067000,False
1970/01/01/01:00:24.100000,False
1970/01/01/01:00:24.134000,False
1970/01/01/01:00:24.168000,False
1970/01/01/01:00:24.200000,False
1970/01/01/01:00:24.234000,False
1970/01/01/01:00:24.267000,False
1970/01/01/01:00:24.300000,False
1970/01/01/01:00:24.334000,False
1970/01/01/01:00:24.367000,False
1970/01/01/01:00:24.400000,False
1970/01/01/01:00:24.434000,False
1970/01/01/01:00:24.467000,False
1970/01/01/01:00:24.500000,False
1970/01/01/01:00:24.534000,False
1970/01/01/01:00:24.567000,False
1970/01/01/01:00:24.600000,False
1970/01/01/01:00:24.634000,False
1970/01/01/01:00:24.667000,False
1970/01/01/01:00:24.700000,False
1970/01/01/01:00:24.734000,False
1970/01/01/01:00:24.767000,False
1970/01/01/01:00:24.800000,False
1970/01/01/01:00:24.834000,False
1970/01/01/01:00:24.867000,False
1970/01/01/01:00:24.900000,False
1970/01/01/01:00:24.934000,False
1970/01/01/01:00:24.967000,False
1970/01/01/01:00:25.000000,False
1970/01/01/01:00:25.034000,False
1970/01/01/01:00:25.067000,False
1970/01/01/01:00:25.101000,False
1970/01/01/01:00:25.134000,False
1970/01/01/01:00:25.167000,False
1970/01/01/01:00:25.200000,False
1970/01/01/01:00:25.235000,False
1970/01/01/01:00:25.267000,False
1970/01/01/01:00:25.300000,False
1970/01/01/01:00:25.334000,False
1970/01/01/01:00:25.367000,False
1970/01/01/01:00:25.400000,False
1970/01/01/01:00:25.434000,False
1970/01/01/01:00:25.467000,False
1970/01/01/01:00:25.500000,False
1970/01/01/01:00:25.534000,False
1970/01/01/01:00:25.567000,False
1970/01/01/01:00:25.600000,False
1970/01/01/01:00:25.634000,False
1970/01/01/01:00:25.667000,False
1970/01/01/01:00:25.700000,False
1970/01/01/01:00:25.734000,False
1970/01/01/01:00:25.767000,False
1970/01/01/01:00:25.800000,False
1970/01/01/01:00:25.834000,False
1970/01/01/01:00:25.867000,False
1970/01/01/01:00:25.900000,False
1970/01/01/01:00:25.934000,False
1970/01/01/01:00:25.967000,False
1970/01/01/01:00:26.000000,False
1970/01/01/01:00:26.034000,False
1970/01/01/01:00:26.067000,False
1970/01/01/01:00:26.100000,False
1970/01/01/01:00:26.134000,False
1970/01/01/01:00:26.167000,False
1970/01/01/01:00:26.200000,False
1970/01/01/01:00:26.234000,False
1970/01/01/01:00:26.267000,False
1970/01/01/01:00:26.300000,False
1970/01/01/01:00:26.334000,False
1970/01/01/01:00:26.367000,False
1970/01/01/01:00:26.400000,False
1970/01/01/01:00:26.435000,False
1970/01/01/01:00:26.467000,False
1970/01/01/01:00:26.500000,False
1970/01/01/01:00:26.534000,False
1970/01/01/01:00:26.568000,False
1970/01/01/01:00:26.601000,False
1970/01/01/01:00:26.634000,False
1970/01/01/01:00:26.667000,False
1970/01/01/01:00:26.700000,False
1970/01/01/01:00:26.734000,False
1970/01/01/01:00:26.767000,False
1970/01/01/01:00:26.800000,False
1970/01/01/01:00:26.834000,False
1970/01/01/01:00:26.867000,False
1970/01/01/01:00:26.900000,False
1970/01/01/01:00:26.934000,False
1970/01/01/01:00:26.967000,False
1970/01/01/01:00:27.000000,False
1970/01/01/01:00:27.035000,False
1970/01/01/01:00:27.067000,False
1970/01/01/01:00:27.100000,False
1970/01/01/01:00:27.134000,False
1970/01/01/01:00:27.167000,False
1970/01/01/01:00:27.200000,False
1970/01/01/01:00:27.234000,False
1970/01/01/01:00:27.267000,False
1970/01/01/01:00:27.300000,False
1970/01/01/01:00:27.334000,False
1970/01/01/01:00:27.367000,False
1970/01/01/01:00:27.400000,False
1970/01/01/01:00:27.434000,False
1970/01/01/01:00:27.467000,False
1970/01/01/01:00:27.500000,False
1970/01/01/01:00:27.534000,False
1970/01/01/01:00:27.567000,False
1970/01/01/01:00:27.600000,False
1970/01/01/01:00:27.634000,False
1970/01/01/01:00:27.667000,False
1970/01/01/01:00:27.700000,False
1970/01/01/01:00:27.734000,False
1970/01/01/01:00:27.767000,False
1970/01/01/01:00:27.800000,False
1970/01/01/01:00:27.834000,False
1970/01/01/01:00:27.867000,False
1970/01/01/01:00:27.900000,False
1970/01/01/01:00:27.934000,False
1970/01/01/01:00:27.967000,False
1970/01/01/01:00:28.000000,False
1970/01/01/01:00:28.034000,False
1970/01/01/01:00:28.067000,False
1970/01/01/01:00:28.100000,False
1970/01/01/01:00:28.134000,False
1970/01/01/01:00:28.167000,False
1970/01/01/01:00:28.200000,False
1970/01/01/01:00:28.234000,False
1970/01/01/01:00:28.268000,False
1970/01/01/01:00:28.300000,False
1970/01/01/01:00:28.334000,False
1970/01/01/01:00:28.367000,False
1970/01/01/01:00:28.400000,False
1970/01/01/01:00:28.434000,False
1970/01/01/01:00:28.467000,False
1970/01/01/01:00:28.500000,False
1970/01/01/01:00:28.534000,False
1970/01/01/01:00:28.567000,False
1970/01/01/01:00:28.600000,False
1970/01/01/01:00:28.634000,False
1970/01/01/01:00:28.667000,False
1970/01/01/01:00:28.700000,False
1970/01/01/01:00:28.734000,False
1970/01/01/01:00:28.767000,False
1970/01/01/01:00:28.800000,False
1970/01/01/01:00:28.834000,False
1970/01/01/01:00:28.867000,False
1970/01/01/01:00:28.900000,False
1970/01/01/01:00:28.934000,False
1970/01/01/01:00:28.967000,False
1970/01/01/01:00:29.000000,False
1970/01/01/01:00:29.034000,False
1970/01/01/01:00:29.067000,False
1970/01/01/01:00:29.100000,False
1970/01/01/01:00:29.134000,False
1970/01/01/01:00:29.167000,False
1970/01/01/01:00:29.200000,False
1970/01/01/01:00:29.234000,False
1970/01/01/01:00:29.267000,False
1970/01/01/01:00:29.301000,False
1970/01/01/01:00:29.335000,False
1970/01/01/01:00:29.367000,False
1970/01/01/01:00:29.400000,False
1970/01/01/01:00:29.434000,False
1970/01/01/01:00:29.467000,False
1970/01/01/01:00:29.500000,False
1970/01/01/01:00:29.534000,False
1970/01/01/01:00:29.567000,False
1970/01/01/01:00:29.600000,False
1970/01/01/01:00:29.634000,False
1970/01/01/01:00:29.667000,False
1970/01/01/01:00:29.700000,False
1970/01/01/01:00:29.734000,False
1970/01/01/01:00:29.767000,False
1970/01/01/01:00:29.800000,False
1970/01/01/01:00:29.834000,False
1970/01/01/01:00:29.867000,False
1970/01/01/01:00:29.900000,False
1970/01/01/01:00:29.934000,False
1970/01/01/01:00:29.967000,False
1970/01/01/01:00:30.000000,False
1970/01/01/01:00:30.035000,False
1970/01/01/01:00:30.067000,False
1970/01/01/01:00:30.100000,False
1970/01/01/01:00:30.134000,False
1970/01/01/01:00:30.167000,False
1970/01/01/01:00:30.200000,False
1970/01/01/01:00:30.234000,False
1970/01/01/01:00:30.268000,False
1970/01/01/01:00:30.300000,False
1970/01/01/01:00:30.334000,False
1970/01/01/01:00:30.367000,False
1970/01/01/01:00:30.400000,False
1970/01/01/01:00:30.434000,False
1970/01/01/01:00:30.467000,False
1970/01/01/01:00:30.500000,False
1970/01/01/01:00:30.535000,False
1970/01/01/01:00:30.567000,False
1970/01/01/01:00:30.600000,False
1970/01/01/01:00:30.634000,False
1970/01/01/01:00:30.667000,False
1970/01/01/01:00:30.700000,False
1970/01/01/01:00:30.734000,False
1970/01/01/01:00:30.767000,False
1970/01/01/01:00:30.801000,False
1970/01/01/01:00:30.835000,False
1970/01/01/01:00:30.867000,False
1970/01/01/01:00:30.900000,False
1970/01/01/01:00:30.934000,False
1970/01/01/01:00:30.967000,False
1970/01/01/01:00:31.001000,False
1970/01/01/01:00:31.034000,False
1970/01/01/01:00:31.067000,False
1970/01/01/01:00:31.100000,False
1970/01/01/01:00:31.134000,False
1970/01/01/01:00:31.168000,False
1970/01/01/01:00:31.200000,False
1970/01/01/01:00:31.234000,False
1970/01/01/01:00:31.267000,False
1970/01/01/01:00:31.300000,False
1970/01/01/01:00:31.334000,False
1970/01/01/01:00:31.367000,False
1970/01/01/01:00:31.400000,False
1970/01/01/01:00:31.434000,False
1970/01/01/01:00:31.467000,False
1970/01/01/01:00:31.500000,False
1970/01/01/01:00:31.534000,False
1970/01/01/01:00:31.567000,False
1970/01/01/01:00:31.600000,False
1970/01/01/01:00:31.634000,False
1970/01/01/01:00:31.667000,False
1970/01/01/01:00:31.700000,False
1970/01/01/01:00:31.734000,False
1970/01/01/01:00:31.767000,False
1970/01/01/01:00:31.801000,False
1970/01/01/01:00:31.834000,False
1970/01/01/01:00:31.867000,False
1970/01/01/01:00:31.900000,False
1970/01/01/01:00:31.934000,False
1970/01/01/01:00:31.967000,False
1970/01/01/01:00:32.000000,False
1970/01/01/01:00:32.035000,False
1970/01/01/01:00:32.067000,False
1970/01/01/01:00:32.100000,False
1970/01/01/01:00:32.134000,False
1970/01/01/01:00:32.167000,False
1970/01/01/01:00:32.200000,False
1970/01/01/01:00:32.235000,False
1970/01/01/01:00:32.268000,False
1970/01/01/01:00:32.301000,False
1970/01/01/01:00:32.334000,False
1970/01/01/01:00:32.367000,False
1970/01/01/01:00:32.400000,False
1970/01/01/01:00:32.434000,False
1970/01/01/01:00:32.467000,False
1970/01/01/01:00:32.500000,False
1970/01/01/01:00:32.534000,False
1970/01/01/01:00:32.567000,False
1970/01/01/01:00:32.600000,False
1970/01/01/01:00:32.634000,False
1970/01/01/01:00:32.667000,False
1970/01/01/01:00:32.700000,False
1970/01/01/01:00:32.734000,False
