time,.data
1970/01/01/01:00:28.212000,False
1970/01/01/01:00:28.222000,False
1970/01/01/01:00:28.232000,False
1970/01/01/01:00:28.242000,False
1970/01/01/01:00:28.252000,False
1970/01/01/01:00:28.262000,False
1970/01/01/01:00:28.272000,False
1970/01/01/01:00:28.282000,False
1970/01/01/01:00:28.292000,False
1970/01/01/01:00:28.302000,False
1970/01/01/01:00:28.312000,False
1970/01/01/01:00:28.322000,False
1970/01/01/01:00:28.332000,False
1970/01/01/01:00:28.342000,False
1970/01/01/01:00:28.352000,False
1970/01/01/01:00:28.362000,False
1970/01/01/01:00:28.372000,False
1970/01/01/01:00:28.382000,False
1970/01/01/01:00:28.392000,False
1970/01/01/01:00:28.402000,False
1970/01/01/01:00:28.412000,False
1970/01/01/01:00:28.422000,False
1970/01/01/01:00:28.432000,False
1970/01/01/01:00:28.442000,False
1970/01/01/01:00:28.452000,False
1970/01/01/01:00:28.462000,False
1970/01/01/01:00:28.472000,False
1970/01/01/01:00:28.482000,False
1970/01/01/01:00:28.492000,False
1970/01/01/01:00:28.502000,False
1970/01/01/01:00:28.512000,False
1970/01/01/01:00:28.522000,False
1970/01/01/01:00:28.532000,False
1970/01/01/01:00:28.542000,False
1970/01/01/01:00:28.552000,False
1970/01/01/01:00:28.562000,False
1970/01/01/01:00:28.572000,False
1970/01/01/01:00:28.582000,False
1970/01/01/01:00:28.592000,False
1970/01/01/01:00:28.602000,False
1970/01/01/01:00:28.612000,False
1970/01/01/01:00:28.622000,False
1970/01/01/01:00:28.632000,False
1970/01/01/01:00:28.642000,False
1970/01/01/01:00:28.652000,False
1970/01/01/01:00:28.662000,False
1970/01/01/01:00:28.672000,False
1970/01/01/01:00:28.682000,False
1970/01/01/01:00:28.692000,False
1970/01/01/01:00:28.702000,False
1970/01/01/01:00:28.712000,False
1970/01/01/01:00:28.722000,False
1970/01/01/01:00:28.732000,False
1970/01/01/01:00:28.742000,False
1970/01/01/01:00:28.752000,False
1970/01/01/01:00:28.762000,False
1970/01/01/01:00:28.772000,False
1970/01/01/01:00:28.782000,False
1970/01/01/01:00:28.792000,False
1970/01/01/01:00:28.802000,False
1970/01/01/01:00:28.812000,False
1970/01/01/01:00:28.822000,False
1970/01/01/01:00:28.832000,False
1970/01/01/01:00:28.842000,False
1970/01/01/01:00:28.852000,False
1970/01/01/01:00:28.862000,False
1970/01/01/01:00:28.872000,False
1970/01/01/01:00:28.882000,False
1970/01/01/01:00:28.892000,False
1970/01/01/01:00:28.902000,False
1970/01/01/01:00:28.912000,False
1970/01/01/01:00:28.922000,False
1970/01/01/01:00:28.932000,False
1970/01/01/01:00:28.942000,False
1970/01/01/01:00:28.952000,False
1970/01/01/01:00:28.962000,False
1970/01/01/01:00:28.972000,False
1970/01/01/01:00:28.982000,False
1970/01/01/01:00:28.992000,False
1970/01/01/01:00:29.002000,False
1970/01/01/01:00:29.012000,False
1970/01/01/01:00:29.022000,False
1970/01/01/01:00:29.032000,False
1970/01/01/01:00:29.042000,False
1970/01/01/01:00:29.052000,False
1970/01/01/01:00:29.062000,False
1970/01/01/01:00:29.072000,False
1970/01/01/01:00:29.082000,False
1970/01/01/01:00:29.092000,False
1970/01/01/01:00:29.102000,False
1970/01/01/01:00:29.112000,False
1970/01/01/01:00:29.122000,False
1970/01/01/01:00:29.132000,False
1970/01/01/01:00:29.142000,False
1970/01/01/01:00:29.152000,False
1970/01/01/01:00:29.162000,False
1970/01/01/01:00:29.172000,False
1970/01/01/01:00:29.182000,False
1970/01/01/01:00:29.192000,False
1970/01/01/01:00:29.202000,False
1970/01/01/01:00:29.212000,False
1970/01/01/01:00:29.222000,False
1970/01/01/01:00:29.232000,False
1970/01/01/01:00:29.242000,False
1970/01/01/01:00:29.252000,False
1970/01/01/01:00:29.262000,False
1970/01/01/01:00:29.272000,False
1970/01/01/01:00:29.282000,False
1970/01/01/01:00:29.292000,False
1970/01/01/01:00:29.302000,False
1970/01/01/01:00:29.312000,False
1970/01/01/01:00:29.322000,False
1970/01/01/01:00:29.332000,False
1970/01/01/01:00:29.342000,False
1970/01/01/01:00:29.352000,False
1970/01/01/01:00:29.362000,False
1970/01/01/01:00:29.372000,False
1970/01/01/01:00:29.382000,False
1970/01/01/01:00:29.392000,False
1970/01/01/01:00:29.402000,False
1970/01/01/01:00:29.412000,False
1970/01/01/01:00:29.422000,False
1970/01/01/01:00:29.432000,False
1970/01/01/01:00:29.442000,False
1970/01/01/01:00:29.452000,False
1970/01/01/01:00:29.462000,False
1970/01/01/01:00:29.472000,False
1970/01/01/01:00:29.482000,False
1970/01/01/01:00:29.492000,False
1970/01/01/01:00:29.502000,False
1970/01/01/01:00:29.512000,False
1970/01/01/01:00:29.522000,False
1970/01/01/01:00:29.532000,False
1970/01/01/01:00:29.542000,False
1970/01/01/01:00:29.552000,False
1970/01/01/01:00:29.562000,False
1970/01/01/01:00:29.572000,False
1970/01/01/01:00:29.582000,False
1970/01/01/01:00:29.592000,False
1970/01/01/01:00:29.602000,False
1970/01/01/01:00:29.612000,False
1970/01/01/01:00:29.622000,False
1970/01/01/01:00:29.632000,False
1970/01/01/01:00:29.642000,False
1970/01/01/01:00:29.652000,False
1970/01/01/01:00:29.662000,False
1970/01/01/01:00:29.672000,False
1970/01/01/01:00:29.682000,False
1970/01/01/01:00:29.692000,False
1970/01/01/01:00:29.702000,False
1970/01/01/01:00:29.712000,False
1970/01/01/01:00:29.722000,False
1970/01/01/01:00:29.732000,False
1970/01/01/01:00:29.742000,False
1970/01/01/01:00:29.752000,False
1970/01/01/01:00:29.762000,False
1970/01/01/01:00:29.772000,False
1970/01/01/01:00:29.782000,False
1970/01/01/01:00:29.792000,False
1970/01/01/01:00:29.802000,False
1970/01/01/01:00:29.812000,False
1970/01/01/01:00:29.822000,False
1970/01/01/01:00:29.832000,False
1970/01/01/01:00:29.842000,False
1970/01/01/01:00:29.852000,False
1970/01/01/01:00:29.862000,False
1970/01/01/01:00:29.872000,False
1970/01/01/01:00:29.882000,False
1970/01/01/01:00:29.892000,False
1970/01/01/01:00:29.902000,False
1970/01/01/01:00:29.912000,False
1970/01/01/01:00:29.922000,False
1970/01/01/01:00:29.932000,False
1970/01/01/01:00:29.942000,False
1970/01/01/01:00:29.952000,False
1970/01/01/01:00:29.962000,False
1970/01/01/01:00:29.972000,False
1970/01/01/01:00:29.982000,False
1970/01/01/01:00:29.992000,False
1970/01/01/01:00:30.002000,False
1970/01/01/01:00:30.012000,False
1970/01/01/01:00:30.022000,False
1970/01/01/01:00:30.032000,False
1970/01/01/01:00:30.042000,False
1970/01/01/01:00:30.052000,False
1970/01/01/01:00:30.062000,False
1970/01/01/01:00:30.072000,False
1970/01/01/01:00:30.082000,False
1970/01/01/01:00:30.092000,False
1970/01/01/01:00:30.102000,False
1970/01/01/01:00:30.112000,False
1970/01/01/01:00:30.122000,False
1970/01/01/01:00:30.132000,False
1970/01/01/01:00:30.142000,False
1970/01/01/01:00:30.152000,False
1970/01/01/01:00:30.162000,False
1970/01/01/01:00:30.172000,False
1970/01/01/01:00:30.182000,False
1970/01/01/01:00:30.192000,False
1970/01/01/01:00:30.202000,False
1970/01/01/01:00:30.212000,False
1970/01/01/01:00:30.222000,False
1970/01/01/01:00:30.232000,False
1970/01/01/01:00:30.242000,False
1970/01/01/01:00:30.252000,False
1970/01/01/01:00:30.262000,False
1970/01/01/01:00:30.272000,False
1970/01/01/01:00:30.282000,False
1970/01/01/01:00:30.292000,False
1970/01/01/01:00:30.302000,False
1970/01/01/01:00:30.312000,False
1970/01/01/01:00:30.322000,False
1970/01/01/01:00:30.332000,False
1970/01/01/01:00:30.342000,False
1970/01/01/01:00:30.352000,False
1970/01/01/01:00:30.362000,False
